Nomi,Narxi ($),Tavsifi,Rasm
DS-3E1106P-EI/M(O-STD),23,"L2, Smart Managed, 4 10/100M RJ45 PoE ports, 2 10/100M RJ45 port, 802.3af/at, PoE power budget  45W, HPP Cloud managed, VLAN, STP/RSTP loop prefention, PoE watchdog, Max. 300 meter PoE transmission, Desktop/Wall mount",
DS-3E1318P-EI/M(O-STD),90,"L2, Smart Managed, 16 10/100M RJ45 PoE ports, 1 Gigabit RJ45 port, 1 Gigabit combo port, 802.3af/at, PoE power budget  130W, Max. 300 meter PoE transmission, Supports Hik-Central/iVMS 4200/Hik-Partner Pro Unified Topology Management, cloud management, Rack mount",
DS-3WF1000-EI-2N(O-STD),32,"Outdoor 2.4GHz wireless bridge Kit, Max.distance 1km, 2×2 MIMO antenna with 300Mbps thoughput, 7dBi gain, 802.11n, Angle H: 60°, 2 100Mbps RJ45 ports, Support 12 VDC or Passive PoE Power supply, Support Web, iVMS-4200, HCP, HPP
Tested Throughput at different distance:
PTP: 70Mbps/1KM, 90Mbps/500M, 90Mbps/200M
PTMP(1 to 4): 40Mbps/1KM",
DS-7108NI-Q1(STD)(D),44,"8-ch Mini 1U NVR
H.265+/H.265/H.264+/H.264 video compression
Up to 60 Mbps incoming bandwidth, and 60 Mbps outgoing bandwidth
Up to 8-ch network camera inputs
Up to 4-ch 1080p decoding capability
HDMI and VGA simultaneous output",
DS-AT1000S/480,28700,"24-slot Cost-efficient Super Capacity Storage
24*20 TB IoT SMR enterprise HDD
IoT fully sealed helium HDD technology
Surveillance-specialized direct storage (Direct Streaming mode)
Highly cost efficient, safe and reliable
Energy saving and space saving
Easy operation and maintenance
SMR HDD providing 5-year warranty",
DS-K1T323MBWX-QRE1(O-STD),70,"Face Recognition Access Control Terminal
Max.1000 users, Max.1000 faces, and Max.3000 cards
2.4"" TFT Nontouchable screen, 2MP wide-angle lens,  built-in M1 card reading module, Bluetooth & QR Module;
Increased stability with metal frame; 
Communication: TCP/IP, WiFi, Bluetooth, Wiegand input;
Face Recognition Distance: 0.3 m to 1.5 m; Duration ＜ 0.2 s/User; Accuracy rate ≥ 99%
AP mode for mobile web configuration
All in one: access control, video intercom and video survelliance
Support mobile APP HikConnect
· Working conditions: IP65, Working temperature, -30 °C to +60 °C; Working humidity, 10% to 90% (No condensing); Power supply 12VDC/1A, PoE, power adapter included in the package(European Standard);
· Dimensions and net weight:52.0mm(W) x 157.0mm(H) x 26.0mm(D), 185.0g;",
DS-K1T502DBWX-CQR(STD),104,"Access Control Terminal
Storage with 100,000 cards and 300,000 events;
2MP built-in camera, Built-in Mifare&Felica&DESfire card reading module and Bluetooth & QR module;
Increased stability with zinc alloy housing;
Uplink Communication: TCP/IP, WIFI; Downlink Communication: RS-485;
Supports SD card
AP mode  for mobile web configuration
Supports mobile APP HikConnect
All in  one: access control, video intercoms, and video survelliance;
Supports two-way audio intercom, remote live view, video recording through NVR, dynamic QR code authentication
· Working conditions: IP65, IK09, Working temperature, -40 °C to +70 °C; Working humidity, 0% to 90% (No condensing); Power supply 12VDC/1A;
· Dimensions and net weight:81.0mm(W) x 177.0mm(H) x 24.1mm(D),  640.0g;",
DS-K1T510MBWX-QRE1(O-STD),63,"Access Control Terminal
Storage with 1000 users, 3000 cards and 150,000 events;
2MP built-in camera, built-in Mifare1 card reading, Bluetooth & QR code module;
Increased stability with metal frame; 
Communication: TCP/IP, WiFi, Bluetooth, Wiegand input;
AP mode for mobile web configuration
All in one: access control, video intercom and video survelliance
Support mobile APP HikConnect
· Working conditions: IP65, Working temperature, -30 °C to +60 °C; Working humidity, 10% to 90% (No condensing); Power supply 12VDC/1A, PoE, power adapter included in the package(European Standard);
· Dimensions and net weight:52.0mm(W) x 157.0mm(H) x 26.0mm(D),  200.0g;",
DS-K1T809MWX(O-STD),35,"Standalone Access Control Terminal
Storage with 5,000 cards and 30,000 access control events;
Built-in M1 card reading module;
Increased stability with Metal housing;
Communication: WiFi, Wiegand out(26/34);
Supports AP Mode and Configuration via the mobile web;
12 Keys keyboard and doorbell;
· Working conditions: IP65, Working temperature, -40 °C to +65 °C; Working humidity, 0% to 90% (No condensing); Power supply 12 VDC/1A. 
· Dimensions and net weight: 151mm x 48 mm(H) x 21.5mm(D),  220.30 g;",
DS-TMG001-7,60,"Straight Pole For DS-TMG4XX Series Barrier Gate
Straight pole for barrier gate
Length 3m, 4m, 6m optional.",
DS-3E0310P-E/M(B)(O-STD),50.6,"8 Port Fast Ethernet Unmanaged POE Switch
8 × 10/100 Mbps PoE port, and 2 × Gigabit RJ45 port.
IEEE 802.3at/af standard for PoE ports (Max. 60 W PoE output).
IEEE 802.3, IEEE 802.3u, IEEE 802.3x, IEEE 802.3z and IEEE 802.3ab standard.
6 KV surge protection for PoE ports.
Up to 300 m long-range transmission.
Wire-speed forwarding.
Store-and-forward switching.
Solid high-strength metal shell.
Reliable fan-free design.",
DS-3E1326P-EI/M(O-STD),200,"24 Port Fast Ethernet Smart POE Switch
24 × 10/100M PoE ports, 1 × Gigabit combo,1 × Gigabit RJ45 port
Total PoE Power Budget 230 W
Support 802.1Q VLAN
Support PoE watchdog to detect and restart the cameras that do not respond
Support STP/RSTP Loop prevention
Support cable detection to locate failure
Up to 300 m Long Range PoE Transmission
6 kV Surge Protection",
DS-KH8381-WTE1(O-STD),93,"8 Series Indoor Station
7-inch IPS touch screen with 1024 × 600 resolution
Excellent metal appearance design
One physical button design for easier open the door
Convenient Hik-Connect APP Mobile Control
Receive calls, open the door and live view remotely
Standard IEEE802.3at PoE power supply and power the lock
Supports up to 16 indoor extensions linkage
Elevator access control
Supports surface and flush mounting
Rich interfaces: alarm in, RS-485, relays, TF slot",
IPC-B121HE-UC 2.8MM,20.0,"1/2.8"" Progressive CMOS, ICR, 1920x1080:25fps(P)/30fps(N), H.265+/H.264+&H.264, 3D DNR, BLC, Built-in Microphone, PoE;",
IPC-T221HE-UC 2.8mm,20.0,"1/2.8"" Progressive CMOS, ICR, 1920x1080:25fps(P)/30fps(N), H.265+/H.264+&H.264, 3D DNR, BLC, Built-in Microphone, PoE;",
IPC-B141H-UC 2.8mm,35.0,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, IR range: up to 20m, DC12V & PoE;
*power supply no included",
IPC-T241H-UC 2.8mm,34.0,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, IR range: up to 20m, DC12V & PoE;
*power supply no included",
IPC-B120HA-LUC 2.8mm,36.0,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body detection based on AI, IR range: up to 20m, DC12V & PoE;
*power supply no included
*-F: TF card slot",
IPC-D120HA-LUC 2.8mm,29.0,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body detection based on AI, IR range: up to 20m, DC12V & PoE;
*power supply no included
*-F: TF card slot",
IPC-T220HA-LUC 2.8mm,27.0,"1/2.8"" Progressive CMOS, ICR, 1920ⅹ1080:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body detection based on AI, IR range: up to 20m, DC12V & PoE;
*power supply no included
*-F: TF card slot",
IPC-B140HA-LUC 2.8mm,45.0,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body detection based on AI, IR range: up to 20m, DC12V & PoE;
*power supply no included
*-F: TF card slot",
IPC-D140HA-LUC 2.8mm,40.0,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body detection based on AI, IR range: up to 20m, DC12V & PoE;
*power supply no included",
IPC-T240HA-LUC 2.8mm,39.0,"1/2.8"" Progressive CMOS, ICR, 2560ⅹ1440:20fps(P)/(N), H.265+/H.265/H.264+&H.264, IP67, DWDR, 3D DNR, BLC, Built-in Microphone, Support Human body detection based on AI, IR range: up to 20m, DC12V & PoE;
*power supply no included",
IPC-B120HA-LU 2.8mm,36.0,"1/2.8"" Progressive CMOS, ICR, 1920x1080:25fps(P)/30fps(N), H.265+/H.264+&H.264, 3D DNR, BLC, DC12V & PoE, Motion 2.0 human and vehicle classification, Support mobile monitoring via HiLookVision;
*power supply not included",
IPC-D120HA-LU 2.8mm,38.0,"1/2.8"" Progressive CMOS, ICR, 1920x1080:25fps(P)/30fps(N), H.265+/H.264+&H.264, 3D DNR, BLC, DC12V & PoE, Motion 2.0 human and vehicle classification, Support mobile monitoring via HiLookVision;
*power supply not included",
IPC-B140HA-LUF/SL 2.8mm,,"1/3"" Progressive CMOS, ICR, 2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone & speaker, audio & strobe light alarm, DC12V & PoE, Support mobile monitoring via HiLookVision;
*power supply is not included",
IPC-T240HA-LUF/SL 2.8mm,50.0,"1/3"" Progressive CMOS, ICR, 2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone & speaker, audio & strobe light alarm, DC12V & PoE, Support mobile monitoring via HiLookVision;
*power supply is not included",
IPC-B160HA-LU 2.8mm,,"1/3"" Progressive CMOS, ICR, 3200x1800:20fps(P)/(N), H.265+/H265/H.264+&H.264, 3D DNR, BLC, DC12V & PoE, Motion 2.0 human and vehicle classification, built-in Microphone, Support mobile monitoring via HiLookVision;
*power supply not included",
IPC-B180HA-LU 2.8mm,70.0,"1/3"" Progressive CMOS, ICR, 3840x2160:20fps(P)/(N), H.265+/H265/H.264+&H.264, 3D DNR, BLC, DC12V & PoE, Motion 2.0 human and vehicle classification, built-in Microphone, Support mobile monitoring via HiLookVision;
*power supply not included",
IPC-B149HA-LU 2.8mm,65.0,"1/3"" Progressive CMOS, ICR, 2560x1440:20fps, H.265+/H.265/H.264+&H.264, 3D DNR, BLC, DC12V & PoE, Built-in microphone, Motion 2.0 human and vehicle classification, Support mobile monitoring via HiLookVision; 
*power supply not included",
IPC-B149HA-LUF/SL 2.8mm,,"1/2.8"" Progressive CMOS, ICR, 2560x1440:25fps(P)/30fps(N), H.265+/H.265/H.264+&H.264, 3D DNR, BLC, DC12V & PoE, Built-in SD card slot (up to 512GB), Built-in microphone & speaker, audio & strobe light alarm, DC12V & PoE, Support mobile monitoring via HiLookVision;
*(R&B): Red and blue strobe light.
*power supply is not included",
IPC-B149HA-LUF/SRB 2.8mm,71.0,,
IPC-B169HA-LU 2.8mm,77.0,"1/3"" Progressive CMOS, ICR, 3200x1800:20fps, H.265+/H.265/H.264+&H.264, 3D DNR, BLC, DC12V & PoE, Built-in microphone, Motion 2.0 human and vehicle classification, Support mobile monitoring via HiLookVision; 
*power supply not included",
IPC-B140HAP-LUF/SL 2.8mm,55.0,"1/3"" Progressive CMOS, ICR, 2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone & speaker, audio & strobe light alarm (blue & red light), DC12V & PoE, Support mobile monitoring via HiLookVision;
*power supply is not included",
IPC-T240HAP-LUF/SL 2.8mm,64.0,"1/3"" Progressive CMOS, ICR, 2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone & speaker, audio & strobe light alarm  (blue & red light), DC12V & PoE, Support mobile monitoring via HiLookVision;
*power supply is not included",
IPC-B160HAP-LUF/SL 2.8MM,67.0,"1/3"" Progressive CMOS, ICR, 3200 × 1800: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone & speaker, audio & strobe light alarm  (blue & red light), DC12V & PoE, Support mobile monitoring via HiLookVision;
*power supply is not included",
IPC-T260HAP-LUF/SL 2.8mm,67.0,"1/3"" Progressive CMOS, ICR, 2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone & speaker, audio & strobe light alarm  (blue & red light), DC12V & PoE, Support mobile monitoring via HiLookVision;
*power supply is not included",
IPC-B180HAP-LUF/SL 2.8mm,80.0,"1/3"" Progressive CMOS, ICR, 3840 × 2160: 15fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone & speaker, audio & strobe light alarm  (blue & red light), DC12V & PoE, Support mobile monitoring via HiLookVision;
*power supply is not included",
IPC-T280HAP-LUF/SL 2.8mm,76.0,"1/3"" Progressive CMOS, ICR, 3840 × 2160: 15fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone & speaker, audio & strobe light alarm  (blue & red light), DC12V & PoE, Support mobile monitoring via HiLookVision;
*power supply is not included",
IPC-C320(C) 2.8mm,37.0,"1/3"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG;
Color: 0.01 Lux @ (F1.6, AGC ON), 0 lux with IR; 20fps (2560×1440); VCA functions; 2 streams; WDR; 3D DNR; BLC; ICR; EXIR, up to 10m; DC12V&PoE; Built-in mic&speaker; Built-in micro SD/SDHC/SDXC slot, up to 256GB; HIK-Connect cloud service
*-W model: built-in Wi-Fi",
IPC-C340(C) 2.8mm,44.0,"1/3"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG;
Color: 0.01 Lux @ (F1.6, AGC ON), 0 lux with IR; 20fps (2560×1440); VCA functions; 2 streams; WDR; 3D DNR; BLC; ICR; EXIR, up to 10m; DC12V&PoE; Built-in mic&speaker; Built-in micro SD/SDHC/SDXC slot, up to 256GB; HIK-Connect cloud service
*-W model: built-in Wi-Fi",
NVR-104MH-C,60.0,"4-channels Motion Detection 2.0
40Mbps Bit Rate Input Max (up to 8-ch IP video), H.265/H.265+/H.264/H.264+, RJ45 10M/100M, standalone mini 1U 260 case(Metal)",
NVR-108MH-C,56.0,"4-channels Motion Detection 2.0
80Mbps Bit Rate Input Max (up to 4-ch IP video), H.265/H.265+/H.264/H.264+, RJ45 10M/100M, standalone mini 1U 260 case(Metal)",
NVR-116MH-C,69.0,"4-channels Motion Detection 2.0
160Mbps Bit Rate Input Max (up to 16-ch IP video), H.265/H.265+/H.264/H.264+, 1 SATA interface, standalone 1U 260  case(Metal)",
NVR-104H-D,36.0,"40Mbps Bit Rate Input Max (up to 4-ch IP video), H.265/H.265+/H.264/H.264+, 1 SATA interface, mini 1U case(Plastic)",
NVR-108H-D,42.0,"60Mbps Bit Rate Input Max (up to 8-ch IP video), HH.265/H.265+/H.264/H.264+,1 SATA interface, mini 1U case(Plastic)",
NS-0105P-35(B),25.0,"4 x100M PoE port, 1 100M uplink port
PoE power budget 35W, max. 250m long distance transmission;",
NS-0106P-35,30.0,"4 x100M PoE port, 1 100M uplink port
PoE power budget 35W, max. 250m long distance transmission;",
NS-0109P-60(B),40.0,"8 x 100M PoE port, 1 100M uplink port
PoE power budget 60W,max. 250m long distance transmission;",
NS-0310P-60,50.0,"8 x 100M PoE port, 2 Gigabit RJ45 uplink ports
PoE power budget 60W,max. 250m long distance transmission;",
NS-0318P-130(B),130.0,"16 100M PoE port, 1 1000M RJ45, 1 1000M SFP
PoE power budget 130W, ""Extend"" Mode: Port 9-16,  max. 250m long distance transmission;",
NS-0326P-230(B),150.0,"24 100M PoE port, 1 1000M RJ45, 1 1000M SFP
PoE power budget 230W,""Extend"" Mode: Port 17-24 250m",
NS-0505P-35,31.0,"4 × Gigabit PoE ports, 1 × Gigabit RJ45 port
PoE power budget 35W, max. 250m long distance transmission;",
NS-0510P-58,47.0,"8 × Gigabit PoE ports, 1 × Gigabit RJ45 port, 1 × Gigabit SFP fiber optical port
PoE power budget 58W,max. 250m long distance transmission;",
NS-0518P-125,146.0,"16 × Gigabit PoE ports, 2 × Gigabit SFP fiber optical ports
PoE power budget 125W,max. 250m long distance transmission;",
NS-0526P-225,200.0,"24 × Gigabit PoE ports, 2 × Gigabit SFP fiber optical ports.
PoE power budget 225W,max. 250m long distance transmission;",
NS-0106MP-35,19.3,"L2, Unmanaged, 4 10/100M RJ45 PoE ports, 2 10/100M RJ45 uplink port, PoE power budget 35W",
NS-0110MP-60,28.0,"L2, Unmanaged, 8 10/100M RJ45 PoE ports, 2 10/100M RJ45 uplink port, PoE power budget 60W",
NVR-464MH-K,400.0,"16-ch 1080P decoding capability,320Mbps Bit Rate Input Max (up to 64-ch IP video), 4 SATA interfaces, standalone 1.5U case
● Up to 64 channel IP cameras can be connected
● Up to 16-ch@1080p decoding capacity
● Support 1 HDMI and 1 VGA interfaces, and HDMI interfaces support independent video output
● 4 HDDs for continuous video recording
● H.265+/H.265/H.264+/H.264 video formats
● Up to 320 Mbps incoming bandwidth",
NVR-208MH-K,97.0,"All-channels Motion Detection 2.0
Facial Recognition for up to 4 channels picture stream or 1 channels video stream;
* Facial recognition and MD2.0 cannot be enabled at the same time. 
Support 16 face libraries, up to 20,000 face pictures in total;
80Mbps Bit Rate Input Max (up to 8-ch IP video), 2 SATA interfaces, 380 1U case, alarm I/O: 4/1",
NVR-216MH-K,117.0,"All-channels Motion Detection 2.0
Facial Recognition for up to 4 channels picture stream or 1 channels video stream;
* Facial recognition and MD2.0 cannot be enabled at the same time. 
Support 16 face libraries, up to 20,000 face pictures in total;
160Mbps Bit Rate Input Max (up to 16-ch IP video), 2 SATA interfaces, 380 1U case, alarm I/O: 4/1",
NVR-232MH-K,155.0,"All-channels Motion Detection 2.0
Facial Recognition for up to 4 channels picture stream or 1 channels video stream;
* Facial recognition and MD2.0 cannot be enabled at the same time. 
Support 16 face libraries, up to 20,000 face pictures in total;
256Mbps Bit Rate Input Max (up to 32-ch IP video), 2 SATA interfaces, 380 1U case, alarm I/O: 4/1",
NVR-104MH-K,63.0,"All-channels Motion Detection 2.0
Facial Recognition for up to 4 channels picture stream or 1 channels video stream;
* Facial recognition and MD2.0 cannot be enabled at the same time. 
Support 16 face libraries, up to 20,000 face pictures in total;
40Mbps Bit Rate Input Max (up to 4-ch IP video), 1 SATA interface, standalone 1U case",
NVR-108MH-K,64.0,"All-channels Motion Detection 2.0
Facial Recognition for up to 4 channels picture stream or 1 channels video stream;
* Facial recognition and MD2.0 cannot be enabled at the same time. 
Support 16 face libraries, up to 20,000 face pictures in total;
80Mbps Bit Rate Input Max (up to 8-ch IP video), 1 SATA interfaces, standalone 1U case",
NVR-116MH-K,82.0,"All-channels Motion Detection 2.0
Facial Recognition for up to 4 channels picture stream or 1 channels video stream;
* Facial recognition and MD2.0 cannot be enabled at the same time. 
Support 16 face libraries, up to 20,000 face pictures in total;
160Mbps Bit Rate Input Max (up to 16-ch IP video), 1 SATA interface, standalone 1U case",
Swich GNT-IG1210FP-AC,60.0,"Industrial 8 Port Full Gigabit Unmanaged  PoE Switch
■8*1000Mbps PoE Ports+2*1000Mbps SFP
■Input: 90-264V AC,DC48-52V Triple Redundancy
■Port: (1-6port) Support IEEE 802.3af/at protocol,
            (7-8port) Support IEEE 802.3af/at/bt protocol
■Protection level: IP40
■6KV Lightning protection
■Working Temperature:-40 - 70℃
■Installation Method:Standard DIN-Rail Mounting
■Power: 130W
■Size: 145 *110 *84 mm
Internal power supply",
Swich GNT-P4813F6,115.0,"15FE & 1GE+2GE(UP-LINK)+1SFP 
■1*1000Mbps SFP Port+2*1000Mbps Uplink ports +1* 1000Mbps PoE port(Compatible uplink) + 15*100Mbps PoE ports
■Ports(1-14)Support IEEE 802.3af/at protocol
■Ports(15-16)Support IEEE 802.3af/at/bt 60w protocol
■6KV Lightning protection,8KV electro-static protection,Short-circuit protection,Over-Temperature protection,Preventing surge
■AI Watchdog 2.0 :Automatic detection,Automatic restart.
■Bandwidth: 11Gbps.
■Mac Address: 8K
■Max transmission distance: 250m
■Power input: AC 90~240V / 300W / 50～60Hz
■Size: 310*260*100mm",
Swich GNT-G1618FG,80.0,"Gigabit SFP optical module rack（1GE+2SFP）*6Group
*Bandwidth: 36Gbps
*Packet forwarding rate：26.784Mpps
*Operating Voltage: AC 90~264V Overall Power: 30W
*Optical Port: SC
*1000Base-X ；100Base-X
*Working Temperature:-30℃~60℃
*IEEE 802.3、IEEE 802.3u、 IEEE 802.3x
*6KV lightning protection, 8KV Electro-Static
*Size:430*180*45mm",
GNT-SF10LAB,25.0,"■Single-mode Single-core Gigabit fiber module(A13+B15)
■Optical Port: LC
■Transmission Range:3KM
■10/100/1000M adaptive with support for
automatic inversion of MDI/MDIX",
GNT-SF12LAB,30.0,"■Single-mode Single-core Gigabit fiber module(A13+B15)
■Optical Port: LC
■Transmission Range:20KM
■10/100/1000M adaptive with support for
automatic inversion of MDI/MDIX",
GNT-10703-60,70.0,"Optical HDMI Cable 60m
*4K / 60Hz
*Bandwidth: 18Gbps
*Gold-plated interface *Photoelectric composite cable",
"Кабель FTP-KANIHAD 5-катег ( внутренный черный) 4*2*0,5 305 метр",40.0,"Кабель FTP-KANIHAD 5-катег ( внутренный черный) 4*2*0,5 305 метр",
"Кабель UTP-KANIHAD 6-катег ( наружный черный) 4*2*0,5 305 метр",37.0,"Кабель UTP-KANIHAD 6-катег ( наружный черный) 4*2*0,5 305 метр",
Кабель KKV-KANIHAD 2*0.35 300 метр,63.0,Кабель KKV-KANIHAD 2*0.35 300 метр,
"Кабель UTP-KANIHAD 5-катег ( внутренный оранжевый) 4*2*0,5 305 метр",35.0,"Кабель UTP-KANIHAD 5-катег ( внутренный оранжевый) 4*2*0,5 305 метр",
"Кабель ПУГНП 2*0,35 KANIHAD (чёрная 1000метр)",80.0,"Кабель ПУГНП 2*0,35 KANIHAD (чёрная 1000метр)",
Swich KANIHAD 1006GB,17.0,4GE PoE+1GE+1SFP Switch,
Swich KANIHAD 1006MB,12.0,4FE PoE+2FE Switch,
Swich KANIHAD 1010GB,25.0,8GE PoE+2GE Switch,
Swich KANIHAD 1010MB,17.0,8FE PoE+2FE Switch,
Swich POE1-2,1.5,,
Swich KANIHAD 16+2+2SFP (300W),51.0,16+2+2SFP (300W),
Swich KANIHAD 24+2+2SFP (400W),84.0,24+2+2SFP (400W),
Замок 180кг магнитный ML-180AS,12.0,"Lock Size：170L*42W*21H(mm) 
Armature Plate：130L*33W*9H(mm) 
Input Voltage：DC12V          
Working Current：300mA/150mA",
Замок 280кг магнитный ML-280AS,15.0,"Lock Size：250L*47W*26H(mm) 
Armature Plate：180L*38W*11H(mm) 
Holding Force: 280kg(600Lbs)
Input Voltage：DC12V            
Working Current：480mA",
Замок 280кг магнитный ML-280AS Black,17.0,"Lock Size：250L*47W*26H(mm) 
Armature Plate：180L*38W*11H(mm) 
Holding Force: 280kg(600Lbs)
Input Voltage：DC12V/DC24V(adjustable)              Working Current：480mA/240mA",
Замок 380кг магнитный ML-380A,20.0,"Lock Size：285L*55W*29H(mm) 
Armature Plate：190L*45W*11H(mm) 
Holding Force: 350kg(800Lbs)
Input Voltage：DC12V             
Working Current：500mA",
Замок 500кг магнитный ML-500A,40.0,"Lock Size：265L*71W*40H(mm) 
Armature Plate：185L*60W*13H(mm) 
Holding Force: 500kg(1200Lbs)
Input Voltage：DC12V             
Working Current：600mA",
Кронштейн для магнитный стеклянный замок 180кг ML-180U,5.0,"Suitable for：Frameless Glass door
Thickness of Glass：8-15mm
Open Mode：90 Degree Door",
Кронштейн для магнитный замок 180кг ML-180ZL,10.0,"Suitable for: Wooden Door, metal Door, Narrow Frame Door open toward inside 
Open Mode：90 Degree Door",
Кронштейн для магнитный стеклянный замок 280кг ML-280U,6.0,"Suitable for：Frameless Glass door
Thickness of Glass：8-15mm
Open Mode：90 Degree Door",
Кронштейн для магнитный замок 280кг ML-280ZL,12.0,"Suitable for: Wooden Door, metal Door, Narrow Frame Door open toward inside 
Open Mode：90 Degree Door",
Кронштейн для магнитный замок 380кг ML-380ZL,14.0,"Suitable for: Wooden Door, metal Door, Narrow Frame Door open toward inside 
Open Mode：90 Degree Door",
Кронштейн для магнитный замок 500кг ML-500ZL,17.0,"Suitable for: Wooden Door, metal Door, Narrow Frame Door open toward inside 
Open Mode：90 Degree Door",
VI-MT227,90.0,"Distinguish black/white : Max20% White：scan area is larger Black：scan area is smaller 
 Detection area diameter : bout 75mm light spot 
Type of ray : infranred Ray
Operation voltage : AC/DC12-36V
Current consumption :＜100mA 
Function Indicator :LED",
VI-HW10,25.0,"Dimensions: length: 121x width 80x thickness 51 (mm)
Power supply voltage: 12V∽30VAC +/- 10% (50HZ∽60HZ)
Transmission frequency 24.125GHZ
Installation height :≤4 meters
Installation inclination 0 to 90 (longitudinal); -30 to +30 (horizontal)",
TK-D1 Pro,160.0,"Lock dimension:Front:420x75x58mm
Back: 420x78x62mm
Material: CNC solid carved material
Mortise lock size: 5572/6072
Unlock ways: APP/Card/Fingerprint/Password/Key
Work with 4pcs AAA alkaline battery
Emergency key for backup use
300,000 times life test",
TK-N1 Pro,120.0,"Lock dimension:75x370x24mm
Material: Aluminum alloy
Option Color: Black/Silver/Red bronze
Option Mortise lock size: 4585/6085/5572/6072
Unlock ways: APP/Card/Fingerprint/Password/Key
Work with 4pcs AAA alkaline battery",
TK-605A,75.0,"Work with proximity card/passcode
Aluminum alloy panel
Black nickle treatment
External 12V power supply
Work with alkaline battery
Emergency key for backup use
300,000 times life tes",
TK-606A-TW,80.0,"With Tuya WIFI Module
Working Voltage: 4X AA 5# alkaline batteries(Not include) or 12V power supply
Working Current: >250mA Fingerprint Capacity: <=100
Card Capacity: <=100
Password Capacity: <=100 Remote Control Capacity: <=30",
TK-8004-EM,45.0,"Working voltage: DC12V±10%
Quiescent current: 35mA
Card reading distance: 2-5CM
 Working frequency: 125KHz
 Number of users: 10,000 users",
TK-8004-MF,50.0,"Working voltage: DC12V±10%
Quiescent current: 35mA
Card reading distance: 2-5CM
 Working frequency: 13.56MHZ
 Number of users: 10,000 users",
TK-8005-EM,80.0,"Working voltage: DC12V±10%
Quiescent current: 35mA
Card reading distance: 2-5CM
 Working frequency: 125KHz
 Number of users: 10,000 users",
TK-8005-MF,85.0,"Working voltage: DC12V±10%
Quiescent current: 35mA
Card reading distance: 2-5CM
 Working frequency: 13.56MHZ
 Number of users: 10,000 users",
Доводчик 60кг ML-S203,20.0,"Fix size：165*19 mm                                                  Body size：179*40*58mm                                         Max Door Weight：60KG                             
Max Door Width：950mm                                              Spring Power：EN3                                                                    Max Opening Angle：180°",
Доводчик 100кг ML-S505,30.0,Fix size：50*50*43 mm                                                  Body size：238*61*39mm                                         Max Door Weight：100KG                             Max Door Width：1250mm                                              Spring Power：EN5                                                                   Max Opening Angle：180°,
RB750GR3 MIKROTIK ROUTER,70,"Mikrotik hEX (RB750Gr3)  – Gigabit five-port router for SOHO segment. CPU 880 MHz, 2 cores and 4 threads, 256 MB RAM, 16 MB Flash, PoE in, RouterOS license lvl 4.",
RB4011IGS-RM MIKROTIK ROUTER,255,"Маршрутизатор в стойку, 4 ядра (1.4 ГГц), 10х 1G RJ45, SFP+, раздача PoE",
