Nomi,Narxi ($),Tavsifi,Rasm
DS-2CD1343G2-IUF 2.8mm,45,"1/3"" Progressive CMOS, ICR,2560x1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR range: up to 30m, DC12V & PoE,  Support mobile monitoring via Hik-Connect
*-UF: Build-in microphone & SD Card Slot (up to 256GB),
*power supply is not included",
DS-2CD1343G2-LIU 2.8MM,48,"High quality imaging with 4 MP resolution
Support Human and Vehicle Detection
Smart Hybrid Light: advanced technology with long range
Built-in microphone for real-time audio security
Efficient H.265+ compression technology
Support on-board storage up to 512 GB (SD card slot) (Optional)
Water and dust resistant (IP67)",
DS-2CD1347G0-L(2.8mm)(C)(O-STD),62.5,"1/2.7"" Progressive CMOS. ICR.2560 × 1440: 20fps(P)/(N). H.265+/H.265/H.264+&H.264. WDR. 3D DNR. BLC. Warm light range: up to 30m. DC12V & PoE.  Support mobile monitoring via Hik-Connect
*-UF: Build-in microphone & SD Card Slot (up to 256GB).
*power supply is not included",
DS-2CD1383G0-I 2.8MM C,85,"1/2.5"" Progressive CMOS, ICR, 3840 × 2160: 12.5fps(P)/15fps(N),
H.265+/H.265, WDR, 3D DNR, BLC, HLC, IR range: up to 30m, DC12V & PoE, Support mobile monitoring via Hik-Connect; 
*power supply no included",
DS-2CD1643G2-IZ 2.8-12mm,100,"High quality imaging with 4 MP resolution
Support Human and Vehicle Detection
2.8 to 12 mm motorized varifocal lens for easy installation and monitoring
Up to 256 GB memory card slot for storage
Water and dust resistant (IP67)
EXIR 2.0: advanced infrared technology with long IR range
Clear imaging even with strong back lighting due to 120 dB WDR technology
Efficient H.265+ compression technology",
DS-2CD1653G0-IZ(2.8-12mm)(O-STD),110,"1/2.7"" Progressive CMOS. ICR. 2560*1920:15fps(P)/(N). 2304x1296:25fps(P)/30fps(N).
H.265+/H.265/H.264+&H.264. WDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE. TF card slot. Support mobile monitoring via Hik-Connect *power supply no included
-Z: motorized vari-focal lens",
DS-2CD2027G1-L(2.8mm)(O-STD),77,"1/2.8"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
Color: 0.0005 lux @(F1.0. AGC ON). 0 lux with LED on; 25fps/30fps(1920×1080); VCA functions; 3 streams; 3D DNR; BLC; ICR; 3000K Warm LED; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service
-U:Built-in micphone",
DS-2CD2027G2-L 2.8MM C,77,"1/2.8"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
Color: 0.0005 lux @(F1.0. AGC ON). 0 lux with LED on; 25fps/30fps(1920×1080); VCA functions; 3 streams; 3D DNR; BLC; ICR; 3000K Warm LED; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service
-U:Built-in micphone",
DS-2CD2043G2-I(2.8mm)(O-STD),70,"1/3"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG;
Color: 0.005 Lux @ (F1.6. AGC ON). 0 lux with IR; 25fps/30fps(2688×1520. 1920×1080); VCA functions; 3 streams; 3D DNR; BLC/HLC; ICR; EXIR. up to 40m; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service
* -U:Built-in Microphone",
DS-2CD2043G2-IU 2.8mm,76,"1/3"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG;
Color: 0.005 Lux @ (F1.6. AGC ON). 0 lux with IR; 25fps/30fps(2688×1520. 1920×1080); VCA functions; 3 streams; 3D DNR; BLC/HLC; ICR; EXIR. up to 40m; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service
* -U:Built-in Microphone",
DS-2CD2047G2-L(2.8mm)(C)(O-STD),91.5,"1/1.8"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
Color: 0.0005 lux @(F1.0. AGC ON). 0 lux with LED on; 
25fps/30fps(2688×1520. 2304×1296. 1920×1080); VCA functions; 3 streams; 3D DNR; BLC; ICR; 3000K Warm LED; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service; 
-U:Built-in micphone",
DS-2CD2047G2-LU(2.8mm)(C)(O-STD),93,"1/1.8"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
Color: 0.0005 lux @(F1.0. AGC ON). 0 lux with LED on; 
25fps/30fps(2688×1520. 2304×1296. 1920×1080); VCA functions; 3 streams; 3D DNR; BLC; ICR; 3000K Warm LED; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service; 
-U:Built-in micphone",
DS-2CD2047G2-LU/SL 2.8MM C,96,"1/1.8"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
Color: 0.0005 lux @(F1.0, AGC ON), 0 lux with LED on; 
25fps/30fps(2688×1520, 1920×1080); VCA functions; 3 streams; 3D DNR; BLC; ICR; 3000K Warm LED; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service; 
Built-in microphone and speaker",
DS-2CD2047G2H-LIU 2.8MM EF,96,"High quality imaging with 4 MP resolution
Smart Hybrid Light: advanced technology with long range
Clear imaging against strong back light due to 130 dB WDR technology
Efficient H.265+ compression technology
Focus on human and vehicle classification based on deep learning
-U: Built-in microphone for real-time audio security
Water and dust resistant (IP67)",
DS-2CD2063G2-I(2.8mm)(O-STD),77,"1/2.8"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
 Color: 0.005 lux@(F1.6. AGC ON). 0 lux with IR; 
20fps(3200x1800). 25fps/30fps (2688×1520. 1920×1080); VCA functions; 3 streams; 3D DNR; BLC/HLC; ICR; EXIR. up to 40m; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service;
*-U: built-in microphone",
DS-2CD2083G2-I(2.8mm)(O-STD),86.7,"1/2.8"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
 Color: 0.005 lux@(F1.6. AGC ON). 0 lux with IR; 
20fps(3840×2160). 25fps/30fps (3200x1800. 2688×1520. 1920×1080); VCA functions; 3 streams; 3D DNR; BLC/HLC; ICR; EXIR. up to 40m; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service;
*-U: built-in microphone",
DS-2CD2083G2-IU 2.8MM,95,"1/2.8"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
 Color: 0.005 lux@(F1.6, AGC ON), 0 lux with IR; 
20fps(3840×2160), 25fps/30fps (3200x1800, 2688×1520, 1920×1080); VCA functions; 3 streams; 3D DNR; BLC/HLC; ICR; EXIR, up to 40m; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service;
*-U: built-in microphone",
DS-2CD2085G1-I(2.8mm)(O-STD),95,"1/2"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
Powered by Darkfighter technology. Color: 0.014 lux@(F1.6. AGC ON). 0 lux with IR; 
20fps(3840×2160). 25fps/30fps (3072×1728. 2560×1440. 2048×1536.1920×1080); VCA functions; 3 streams; 3D DNR; BLC/HLC; ICR; EXIR. up to 30m; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service",
DS-2CD2087G2-L 2.8mm C,152,"1/1.2"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
Color: 0.0005 lux @(F1.0, AGC ON), 0 lux with LED on; 
25/24fps(3840×2160), 25fps/30fps(3200x1800, 2688×1520, 1920×1080); VCA functions; 3 streams; 3D DNR; BLC; ICR; 3000K Warm LED; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service; 
-U:Built-in micphone",
"DS-2CD2087G2-LU 2,8mm C",160,"1/1.2"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG; 
Color: 0.0005 lux @(F1.0, AGC ON), 0 lux with LED on; 
25/24fps(3840×2160), 25fps/30fps(3200x1800, 2688×1520, 1920×1080); VCA functions; 3 streams; 3D DNR; BLC; ICR; 3000K Warm LED; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service; 
-U:Built-in micphone",
DS-2CD2143G2-I(2.8mm)(O-STD),71.5,"1/3"" Progressive Scan CMOS; H.265+/H.265/H.264+/H.264/MJPEG;
Color: 0.005 Lux @ (F1.6. AGC ON). 0 lux with IR; 25fps/30fps(2688×1520. 1920×1080); VCA functions; 3 streams; 3D DNR; BLC/HLC; ICR; EXIR. up to 30m; DC12V&PoE; Built-in micro SD/SDHC/SDXC slot; HIK-Connect cloud service
*-S model: Audio/Alarm IO",
